round,selected,received,kept,dropped,agg_scalar,train_loss,train_acc,val_loss,val_acc
1,0,0,0,0,,,,,
2,0,0,0,0,,,,,
3,0,0,0,0,,,,,
4,0,0,0,0,,,,,
5,0,0,0,0,,,,,
6,0,0,0,0,,,,,
7,0,0,0,0,,,,,
8,0,0,0,0,,,,,
9,6,6,6,0,8.81170462,1.394726,0.509726,1.425918,0.536278
10,10,10,10,0,8.81384436,1.372521,0.505211,1.408032,0.493080
11,10,10,9,1,8.81966772,1.588974,0.413366,1.628778,0.401575
12,10,10,7,3,8.83237766,1.539453,0.411334,1.578004,0.393401
13,10,10,10,0,8.83426642,1.513010,0.443716,1.567911,0.430809
14,10,10,10,0,8.84703717,1.406509,0.495563,1.440255,0.474670
15,9,9,8,1,8.85387090,1.429838,0.471408,1.438193,0.461648
16,10,10,9,1,8.85750317,1.412631,0.511970,1.407998,0.519674
17,10,10,10,0,8.85904795,1.364605,0.473894,1.449654,0.448549
18,10,10,10,0,8.86200652,1.288769,0.568691,1.348733,0.542790
19,10,10,10,0,8.87190822,1.279566,0.560302,1.330906,0.544346
20,9,9,7,2,8.87982190,1.296485,0.569750,1.259249,0.560976
21,9,9,9,0,8.87754799,1.292002,0.575356,1.339619,0.532895
22,8,8,6,2,8.88716694,1.189137,0.588555,1.278771,0.571223
23,10,10,9,1,8.89670214,1.234037,0.557163,1.228756,0.571698
24,9,9,6,3,8.90840583,1.371937,0.503365,1.473338,0.482824
25,10,10,10,0,8.91858015,1.353328,0.513953,1.417653,0.500926
26,10,10,9,1,8.92324070,1.445016,0.474150,1.421528,0.468635
27,10,10,10,0,8.93004164,1.216351,0.564202,1.247905,0.565746
28,9,9,9,0,8.93258780,1.348763,0.553584,1.392853,0.529577
29,10,10,10,0,8.94694781,1.189532,0.581638,1.214981,0.572391
30,9,9,9,0,8.94816135,1.103712,0.633947,1.124378,0.619904
