round,selected,received,kept,dropped,agg_scalar,train_loss,train_acc,val_loss,val_acc
1,0,0,0,0,,,,,
2,12,12,12,0,8.85756188,1.968718,0.468498,1.984943,0.446203
3,24,24,24,0,8.85965473,1.880695,0.458750,1.870041,0.468954
4,36,36,36,0,8.86199238,1.819689,0.456833,1.816308,0.453750
5,48,48,48,0,8.86431961,1.771440,0.465365,1.760956,0.472897
6,50,50,50,0,8.86716984,1.704056,0.458427,1.708680,0.454947
7,50,50,50,0,8.86972223,1.622026,0.509144,1.645542,0.491689
8,50,50,50,0,8.87295792,1.567729,0.501110,1.553646,0.509974
9,50,50,50,0,8.87581079,1.555509,0.495265,1.560556,0.492122
10,50,50,50,0,8.87796509,1.497033,0.532314,1.541905,0.506352
11,50,50,50,0,8.88015879,1.524389,0.514955,1.547301,0.504390
12,50,50,50,0,8.88289184,1.507100,0.517537,1.529873,0.508351
13,50,50,49,1,8.88477049,1.444096,0.544447,1.472418,0.539866
14,50,50,50,0,8.88743183,1.398940,0.563051,1.440563,0.555106
15,50,50,50,0,8.88873026,1.432302,0.527778,1.460783,0.532033
16,50,50,50,0,8.89090839,1.432811,0.539603,1.450567,0.542157
17,50,50,50,0,8.89285786,1.437220,0.541634,1.445012,0.557789
18,50,50,49,1,8.89553065,1.370410,0.547671,1.397670,0.533396
19,50,50,50,0,8.89734974,1.388360,0.522248,1.345197,0.542700
20,50,50,49,1,8.89874041,1.454835,0.510101,1.510473,0.491192
21,50,50,50,0,8.90079772,1.383594,0.544444,1.389811,0.531574
22,50,50,50,0,8.90163590,1.470586,0.505232,1.514469,0.485864
23,49,49,49,0,8.90320536,1.390976,0.534412,1.428949,0.529530
24,49,49,48,1,8.90385256,1.418911,0.532581,1.425175,0.518600
25,49,49,48,1,8.90582446,1.390145,0.526073,1.418536,0.532632
26,49,49,47,2,8.90675165,1.388087,0.529221,1.393993,0.523438
27,49,49,48,1,8.90743496,1.299092,0.586701,1.300693,0.588595
28,50,50,50,0,8.90765033,1.383426,0.542940,1.469472,0.514151
29,49,49,49,0,8.90803103,1.406198,0.536692,1.421036,0.511702
30,50,50,50,0,8.90910321,1.313278,0.582100,1.339360,0.563603
31,50,50,50,0,8.91001563,1.376038,0.529319,1.469622,0.496425
32,50,50,48,2,8.90954586,1.416116,0.537600,1.500573,0.483429
33,50,50,49,1,8.90973086,1.460064,0.504840,1.462187,0.508197
34,50,50,50,0,8.91000314,1.522037,0.484602,1.576841,0.484814
35,49,49,47,2,8.91154653,1.449723,0.505701,1.528877,0.460930
36,49,49,49,0,8.91271485,1.386205,0.539756,1.430398,0.514259
37,50,50,49,1,8.91411287,1.379284,0.534243,1.404366,0.518727
38,50,50,50,0,8.91508365,1.349425,0.561090,1.347239,0.547734
39,50,50,49,1,8.91540129,1.399207,0.513225,1.433098,0.523810
40,50,50,49,1,8.91718601,1.377134,0.538524,1.400311,0.529843
41,48,48,47,1,8.91795892,1.352184,0.528255,1.437608,0.497845
42,50,50,50,0,8.91764552,1.399723,0.506985,1.406571,0.515845
43,49,49,48,1,8.91960068,1.383761,0.536839,1.458215,0.499440
44,50,50,50,0,8.92177527,1.477692,0.487882,1.529270,0.463039
45,50,50,50,0,8.92375031,1.425838,0.496643,1.446638,0.492754
46,48,48,47,1,8.92548844,1.344690,0.536107,1.373758,0.524535
47,49,49,47,2,8.92678738,1.345123,0.544279,1.405095,0.528571
48,49,49,49,0,8.92800536,1.435799,0.500704,1.488647,0.484615
49,50,50,50,0,8.92982833,1.396523,0.511292,1.412089,0.493361
50,49,49,49,0,8.93081700,1.378516,0.523256,1.397686,0.524138
